feature,importance
food_affordability_index,0.24003352726827004
dietary_diversity_score,0.2395057467418253
household_id,0.1986469541905123
month,0.16200423547027956
income_quintile,0.09742416118271982
gdp_per_capita_usd,0.003507418622526038
year,0.003363902169322948
population_total,0.003351591965219559
economic_vulnerability_index,0.0033266617451586902
food_imports_pct_merchandise,0.003034311695817375
inflation_consumer_prices_pct,0.002576331906997975
agricultural_land_pct,0.0020347233104188994
arable_land_pct,0.0019919868184493086
agriculture_dependence_index,0.0019732645205463107
fao_gdp_per_capita_ppp,0.0017119112602782087
child_mortality_per_1000,0.001570301724811709
prevalence_of_anemia_among_women_of_reproductive_age_(%_of_women_ages_15-49),0.0013627406104347178
agriculture_value_added,0.0011531898223202887
food_crop_production_gap,0.0011284250560767161
food_production_index,0.0010962172042935407
cereal_yield_(kg_per_hectare),0.0010797405200835503
crop_production_index,0.0010694806407092858
cereal_yield_kg_per_ha,0.001049913321187522
fao_basic_sanitation_pct,0.0009790163468481573
employment_in_agriculture_pct,0.0009454226385779025
fao_fat_supply_g_per_day,0.0009441677707299197
fao_safe_water_pct,0.0009403254323881321
fao_min_dietary_energy_req_kcal,0.0009003570903531705
fao_animal_protein_g_per_day,0.0008954172627466904
fao_cereal_import_dependency_pct,0.0008811220856878181
fao_protein_supply_g_per_day,0.000861860966482153
fao_basic_water_access_pct,0.0008528454393794886
freshwater_withdrawal_pct,0.0008255207721377177
fao_child_stunting_pct,0.0007695318832263143
undernourished_pop_millions,0.0007419124729222198
hunger_severity_index,0.000680925885268785
fao_dietary_energy_adequacy_pct,0.000636788121182012
poverty_headcount_pct,0.0005728976133917655
undernourishment_yoy_change_pp,0.0005574748390676463
fao_undernourishment_pct,0.0004929092918797247
prevalence_of_undernourishment_(%_of_population)_x,0.00048689785677134026
prevalence_of_undernourishment_(%_of_population)_y,0.00048591610490179046
row_completeness_pct,0.00047377700285487675
m49_code,0.0004637188380739855
undernourishment_pct,0.00045149632328031925
import_quantity_tonnes,0.0004386373633694451
faostat,0.0004179696388739887
latitude,0.0003447496625951094
longitude,0.0003274061571663083
item_code,0.0003078112311265691
domestic_supply_quantity_1000_tonnes,0.00030069202962323797
stock_variation_tonnes,0.0002873020049332385
export_quantity_1000_tonnes,0.00028086131793167993
other_uses_nonfood_1000_tonnes,0.0002789776640338088
calories_year_million_kcal,0.00027802686625536064
fao_child_stunting_millions,0.000274682179653986
export_quantity_tonnes,0.00027187120717331255
food_supply_quantity_tonnesonnes_tonnes,0.0002709294265280496
loss_tonnes,0.00025758717958981284
opening_stocks_tonnes,0.0002561891889424729
import_quantity_1000_tonnes,0.0002557459088346526
fats_year_tonnes,0.00025022300890436747
production_1000_tonnes,0.0002481109915499705
proteins_year_tonnes,0.00023466290720175402
processed_tonnes,0.00021158538559905806
protein_adequacy_score,0.0002113290806727444
fao_mod_severe_food_insecure_millions,0.00020846452184504748
production_tonnes,0.00020661994204321642
food_supply_kcal_capita_day_kcal_cap_d,0.00019155105717896193
fao_severe_food_insecurity_pct,0.00019012123100700063
food_insecurity_rate,0.0001838397143785113
stunting_prevalence_pct,0.0001698459042404765
tourist_consumption_tonnes,0.00014129332452427637
prevalence_of_severe_food_insecurity_in_the_population_(%),0.00013634449745002762
fao_severe_food_insecure_millions,0.00013273367761553598
food_supply_quantity_g_capita_day_g_cap_d,0.00012577776169131764
exclusive_breastfeeding_(%_of_children_under_6_months),0.00012566050765350806
m49_code_y,0.00011467552980654368
m49_code_x,0.00011264729898317981
faostat_y,0.00011035059084459512
fat_supply_quantity_g_capita_day_g_cap_d,0.00010476488916354973
faostat_x,0.00010426747439227829
value_percentage,9.650279462963094e-05
wasting_rate,9.565293254298397e-05
stunting_rate,9.225752920011572e-05
underweight_rate,9.147186800269642e-05
fao_low_birthweight_millions,9.089739508907226e-05
stock_variation_1000_tonnes,8.986114833687e-05
"prevalence_of_overweight,_weight_for_height_(%_of_children_under_5)",8.821536217283147e-05
"prevalence_of_severe_wasting,_weight_for_height_(%_of_children_under_5)",8.432585286768045e-05
"prevalence_of_severe_wasting,_weight_for_height,_female_(%_of_children_under_5)",8.065352107436077e-05
"prevalence_of_underweight,_weight_for_age,_female_(%_of_children_under_5)",7.802653210215063e-05
"prevalence_of_underweight,_weight_for_age,_male_(%_of_children_under_5)",7.615810118567712e-05
"prevalence_of_overweight,_weight_for_height,_female_(%_of_children_under_5)",7.278197266252944e-05
"prevalence_of_stunting,_height_for_age,_female_(%_of_children_under_5)",7.197780326695602e-05
"prevalence_of_overweight,_weight_for_height,_male_(%_of_children_under_5)",7.016308226929772e-05
"prevalence_of_wasting,_weight_for_height,_female_(%_of_children_under_5)",6.418723662981972e-05
protein_supply_quantity_g_capita_day_g_cap_d,6.366753783473703e-05
residuals_tonnes,6.317361198491316e-05
"prevalence_of_wasting,_weight_for_height,_male_(%_of_children_under_5)",6.31170397120087e-05
"prevalence_of_stunting,_height_for_age,_male_(%_of_children_under_5)",6.177660336515669e-05
residuals_1000_tonnes,5.972391495606829e-05
"prevalence_of_severe_wasting,_weight_for_height,_male_(%_of_children_under_5)",5.922731209720417e-05
fao_child_wasting_millions,5.035335096826505e-05
item_code_x,4.963781338967648e-05
item_code_y,4.4220502446340745e-05
food_crisis_flag,3.31823003314656e-05
tourist_consumption_1000_tonnes,7.4387510929693156e-06
other_uses_non_food_tonnes_flag,0.0
seed_tonnes,0.0
feed_tonnes_flag,0.0
feed_tonnes,0.0
seed_tonnes_flag,0.0
other_uses_non_food_tonnes,0.0
total_population_both_sexes_1000_no_flag,0.0
total_population_both_sexes_1000_no,0.0
fat_supply_quantity_t_tonnes,0.0
fat_supply_quantity_t_tonnes_flag,0.0
fat_supply_quantity_g_capita_day_g_capita_day,0.0
fat_supply_quantity_g_capita_day_g_capita_day_flag,0.0
protein_supply_quantity_t_tonnes_flag,0.0
protein_supply_quantity_t_tonnes,0.0
total_population_both_sexes_1000_persons,0.0
feed_1000_tonnes,0.0
losses_1000_tonnes,0.0
seed_1000_tonnes_flag,0.0
seed_1000_tonnes,0.0
losses_1000_tonnes_flag,0.0
processing_1000_tonnes_flag,0.0
processing_1000_tonnes,0.0
food_1000_tonnes,0.0
food_1000_tonnes_flag,0.0
food_supply_quantity_kg_capita_yr_kg,0.0
food_supply_quantity_kg_capita_yr_kg_flag,0.0
food_supply_kcal_capita_day_kcal_capita_day,0.0
food_supply_kcal_capita_day_kcal_capita_day_flag,0.0
food_supply_kcal_million_kcal,0.0
food_supply_kcal_million_kcal_flag,0.0
protein_supply_quantity_g_capita_day_g_capita_day,0.0
protein_supply_quantity_g_capita_day_g_capita_day_flag,0.0
total_population_both_sexes_1000_persons_flag,0.0
feed_1000_tonnes_flag,0.0
confidence_interval_upper_bound_1000_no_flag,0.0
confidence_interval_upper_bound_1000_no,0.0
value_t_ha_flag,0.0
value_t_ha,0.0
value_2017_constant_prices_usd_ppp_flag,0.0
value_2017_constant_prices_usd_ppp,0.0
value_2017_constant_prices_usd_ppp_cap_flag,0.0
value_2017_constant_prices_usd_ppp_cap,0.0
confidence_interval_lower_bound_1000_no_flag,0.0
confidence_interval_lower_bound_1000_no,0.0
value_1000_ha_flag,0.0
value_1000_ha,0.0
value_usd_m3_flag,0.0
value_usd_m3,0.0
value_flag,0.0
value,0.0
value_no_flag,0.0
value_no,0.0
value_score_flag,0.0
value_score,0.0
value_1000_no_flag,0.0
value_1000_no,0.0
value_million_no_flag,0.0
value_million_no,0.0
value_km2_flag,0.0
value_km2,0.0
confidence_interval_upper_bound_percentage_flag,0.0
confidence_interval_upper_bound_percentage,0.0
confidence_interval_lower_bound_percentage_flag,0.0
confidence_interval_lower_bound_percentage,0.0
